report,type,option,args
advertising,publisher_text_ads,domain,example.com
advertising,publisher_text_ads,display_limit,
advertising,publisher_text_ads,export_columns,title;text;first_seen;last_seen;times_seen;visible_url
advertising,publisher_text_ads,device_type,all;desktop;smartphone_apple;smartphone_android;tablet_apple;tablet_android
advertising,publisher_text_ads,required,domain
advertising,publisher_text_ads,description,This report lists display ads that have appeared on a publisher's website.
advertising,publisher_advertisers,domain,example.com
advertising,publisher_advertisers,display_limit,
advertising,publisher_advertisers,export_columns,domain;ads_count;first_seen;last_seen;times_seen
advertising,publisher_advertisers,device_type,all;desktop;smartphone_apple;smartphone_android;tablet_apple;tablet_android
advertising,publisher_advertisers,required,advertiser;publisher
advertising,publisher_advertisers,description,This report lists advertisers whose display ads have appeared on a queried publisher's website.
advertising,advertiser_publishers,domain,example.com
advertising,advertiser_publishers,display_limit,
advertising,advertiser_publishers,export_columns,domain;ads_count;first_seen;last_seen;times_seen
advertising,advertiser_publishers,device_type,all;desktop;smartphone_apple;smartphone_android;tablet_apple;tablet_android
advertising,advertiser_publishers,required,advertiser;publisher
advertising,advertiser_publishers,description,This report lists publisher's websites where an advertiser's display ads have appeared.
advertising,advertiser_text_ads,domain,example.com
advertising,advertiser_text_ads,display_limit,
advertising,advertiser_text_ads,export_columns,title;text;first_seen;last_seen;times_seen;visible_url
advertising,advertiser_text_ads,device_type,all;desktop;smartphone_apple;smartphone_android;tablet_apple;tablet_android
advertising,advertiser_text_ads,required,domain
advertising,advertiser_text_ads,description,This report lists display ads of a queried advertiser's website.
advertising,advertiser_landings,domain,example.com
advertising,advertiser_landings,display_limit,
advertising,advertiser_landings,export_columns,target_url;first_seen;last_seen;times_seen;ads_count
advertising,advertiser_landings,device_type,all;desktop;smartphone_apple;smartphone_android;tablet_apple;tablet_android
advertising,advertiser_landings,required,domain
advertising,advertiser_landings,description,This report lists URLs of a domain's landing pages promoted via display ads.
advertising,advertiser_publisher_text_ads,advertiser_domain,example.com
advertising,advertiser_publisher_text_ads,publisher_domain,example.com
advertising,advertiser_publisher_text_ads,display_limit,
advertising,advertiser_publisher_text_ads,export_columns,title;text;first_seen;last_seen;times_seen;visible_url
advertising,advertiser_publisher_text_ads,device_type,all;desktop;smartphone_apple;smartphone_android;tablet_apple;tablet_android
advertising,advertiser_publisher_text_ads,required,advertiser;publisher
advertising,advertiser_publisher_text_ads,description,This report lists the display ads of a given advertiser that have appeared on a particular publisher's website.
advertising,advertiser_rank,domain,example.com
advertising,advertiser_rank,display_limit,
advertising,advertiser_rank,export_columns,domain;ads_overall;text_ads_overall;media_ads_overall;first_seen;last_seen;times_seen;domain_overall
advertising,advertiser_rank,device_type,all;desktop;smartphone_apple;smartphone_android;tablet_apple;tablet_android
advertising,advertiser_rank,required,domain
advertising,advertiser_rank,description,This report lists advertisers ranked by the total number of display ads noticed by SEMrush.
advertising,publisher_rank,domain,example.com
advertising,publisher_rank,display_limit,
advertising,publisher_rank,export_columns,domain;ads_overall;text_ads_overall;media_ads_overall;first_seen;last_seen;times_seen;domain_overall
